Treating.Clinician,Hospital,total,target,percentage,hospital_each_average,hospital_all_average
90107765,Dandenong,7,0,0,6.52,7.96
90108333,MMC- Clayton,1,0,0,9.21,7.96
90109083,Dandenong,2,0,0,6.52,7.96
90109179,Casey,2,0,0,6.07,7.96
90109179,Dandenong,1,0,0,6.52,7.96
90109179,MMC- Clayton,6,3,50,9.21,7.96
90109536,Casey,3,0,0,6.07,7.96
90110663,MMC- Clayton,1,0,0,9.21,7.96
90111201,MMC- Clayton,1,0,0,9.21,7.96
90111234,Casey,1,0,0,6.07,7.96
90111258,Casey,1,0,0,6.07,7.96
90111262,MMC- Clayton,1,0,0,9.21,7.96
90111265,Casey,1,0,0,6.07,7.96
90111526,MMC- Clayton,2,0,0,9.21,7.96
90112083,Casey,3,0,0,6.07,7.96
90112361,Dandenong,2,0,0,6.52,7.96
90112578,Dandenong,3,0,0,6.52,7.96
90113108,Dandenong,3,0,0,6.52,7.96
90113108,MMC- Clayton,2,0,0,9.21,7.96
90113497,MMC- Clayton,14,3,21,9.21,7.96
90113883,Casey,11,0,0,6.07,7.96
90115768,Casey,3,0,0,6.07,7.96
90115768,MMC- Clayton,1,0,0,9.21,7.96
90115923,Dandenong,5,0,0,6.52,7.96
90116155,Casey,4,0,0,6.07,7.96
90116155,Dandenong,1,0,0,6.52,7.96
90116410,MMC- Clayton,1,0,0,9.21,7.96
90117588,Casey,7,3,42,6.07,7.96
90117588,Dandenong,3,0,0,6.52,7.96
90117588,MMC- Clayton,7,3,42,9.21,7.96
90117635,Casey,5,0,0,6.07,7.96
90118204,Dandenong,2,0,0,6.52,7.96
90118416,MMC- Clayton,11,3,27,9.21,7.96
90119011,Dandenong,1,0,0,6.52,7.96
90119011,MMC- Clayton,1,0,0,9.21,7.96
90119071,Casey,3,0,0,6.07,7.96
90119285,MMC- Clayton,8,3,37,9.21,7.96
90119577,MMC- Clayton,43,6,13,9.21,7.96
90119715,Casey,4,0,0,6.07,7.96
90119742,Casey,4,0,0,6.07,7.96
90119742,Dandenong,5,0,0,6.52,7.96
90119823,MMC- Clayton,12,3,25,9.21,7.96
90119848,MMC- Clayton,1,0,0,9.21,7.96
90119860,Casey,1,0,0,6.07,7.96
90119860,MMC- Clayton,2,0,0,9.21,7.96
90119901,MMC- Clayton,5,0,0,9.21,7.96
90119988,Dandenong,1,0,0,6.52,7.96
90119988,MMC- Clayton,4,0,0,9.21,7.96
90121871,MMC- Clayton,2,0,0,9.21,7.96
90122677,Casey,2,0,0,6.07,7.96
90122677,MMC- Clayton,32,8,25,9.21,7.96
90123231,Casey,7,0,0,6.07,7.96
90123234,Casey,1,0,0,6.07,7.96
90123243,Casey,3,0,0,6.07,7.96
90123249,MMC- Clayton,8,0,0,9.21,7.96
90123255,Casey,3,0,0,6.07,7.96
90123258,Casey,3,0,0,6.07,7.96
90123261,Casey,3,0,0,6.07,7.96
90123262,Casey,8,4,50,6.07,7.96
90123265,Casey,5,0,0,6.07,7.96
90123274,Casey,5,0,0,6.07,7.96
90123274,Dandenong,4,0,0,6.52,7.96
90123284,Casey,4,0,0,6.07,7.96
90123295,Casey,1,0,0,6.07,7.96
90123296,Casey,3,0,0,6.07,7.96
90123301,Casey,4,0,0,6.07,7.96
90123309,MMC- Clayton,3,0,0,9.21,7.96
90123323,Casey,4,0,0,6.07,7.96
90123332,Casey,1,0,0,6.07,7.96
90123339,Dandenong,2,0,0,6.52,7.96
90123339,MMC- Clayton,16,3,18,9.21,7.96
90124199,Casey,5,0,0,6.07,7.96
90124202,Casey,8,0,0,6.07,7.96
90124202,Dandenong,7,0,0,6.52,7.96
90124438,Casey,14,0,0,6.07,7.96
90124438,Dandenong,1,0,0,6.52,7.96
90124438,MMC- Clayton,21,0,0,9.21,7.96
90124439,Casey,10,0,0,6.07,7.96
90124439,Dandenong,4,0,0,6.52,7.96
90124440,Casey,26,0,0,6.07,7.96
90124441,Casey,7,0,0,6.07,7.96
90124443,Casey,3,0,0,6.07,7.96
90124445,Casey,6,0,0,6.07,7.96
90124446,Casey,6,0,0,6.07,7.96
90124446,Dandenong,1,0,0,6.52,7.96
90124447,Casey,7,0,0,6.07,7.96
90124447,Dandenong,5,0,0,6.52,7.96
90124449,Casey,2,0,0,6.07,7.96
90124449,Dandenong,10,4,40,6.52,7.96
90124459,Dandenong,2,0,0,6.52,7.96
90124476,MMC- Clayton,8,0,0,9.21,7.96
90124487,MMC- Clayton,2,0,0,9.21,7.96
90124491,Casey,5,0,0,6.07,7.96
90124492,MMC- Clayton,3,0,0,9.21,7.96
90124499,Dandenong,1,0,0,6.52,7.96
90124502,Casey,5,0,0,6.07,7.96
90124502,MMC- Clayton,2,0,0,9.21,7.96
90124505,MMC- Clayton,8,0,0,9.21,7.96
90124508,Casey,11,2,18,6.07,7.96
90124515,Dandenong,1,0,0,6.52,7.96
90124517,Dandenong,4,0,0,6.52,7.96
90124517,MMC- Clayton,3,0,0,9.21,7.96
90124523,MMC- Clayton,2,0,0,9.21,7.96
90124524,MMC- Clayton,11,0,0,9.21,7.96
90124526,MMC- Clayton,19,4,21,9.21,7.96
90124539,Casey,1,0,0,6.07,7.96
90124543,Casey,2,0,0,6.07,7.96
90124543,MMC- Clayton,3,0,0,9.21,7.96
90124546,MMC- Clayton,2,0,0,9.21,7.96
90124552,Casey,2,0,0,6.07,7.96
90124561,Dandenong,6,0,0,6.52,7.96
90124561,MMC- Clayton,9,0,0,9.21,7.96
90124563,MMC- Clayton,1,0,0,9.21,7.96
90124565,Dandenong,2,0,0,6.52,7.96
90124570,Casey,2,0,0,6.07,7.96
90124570,Dandenong,1,0,0,6.52,7.96
90124574,Casey,7,0,0,6.07,7.96
90124585,MMC- Clayton,3,0,0,9.21,7.96
90124609,MMC- Clayton,24,4,16,9.21,7.96
90124612,Casey,5,0,0,6.07,7.96
90124621,MMC- Clayton,24,0,0,9.21,7.96
90124633,MMC- Clayton,2,0,0,9.21,7.96
90124637,MMC- Clayton,6,0,0,9.21,7.96
90124642,Casey,11,0,0,6.07,7.96
90124682,MMC- Clayton,5,0,0,9.21,7.96
90124698,MMC- Clayton,14,1,7,9.21,7.96
90124936,Casey,5,0,0,6.07,7.96
90124939,Casey,1,0,0,6.07,7.96
90127293,MMC- Clayton,5,0,0,9.21,7.96
90127515,MMC- Clayton,4,0,0,9.21,7.96
90132167,Casey,29,0,0,6.07,7.96
90135325,Casey,12,4,33,6.07,7.96
90136838,MMC- Clayton,17,4,23,9.21,7.96
90136845,MMC- Clayton,1,0,0,9.21,7.96
90136849,MMC- Clayton,4,0,0,9.21,7.96
90136850,MMC- Clayton,16,7,43,9.21,7.96
90137181,Casey,1,0,0,6.07,7.96
90137813,Casey,19,6,31,6.07,7.96
