Treating.Clinician,Hospital,total,target,percentage,hospital_each_average,hospital_all_average
90101122,MMC- Clayton,5,0,0,0.77,1.33
90101219,Dandenong,2,1,50,2.72,1.33
90101274,Casey,24,1,4,1.97,1.33
90101274,MMC- Clayton,33,0,0,0.77,1.33
90102876,MMC- Clayton,2,0,0,0.77,1.33
90102895,Casey,1,0,0,1.97,1.33
90102895,Dandenong,5,0,0,2.72,1.33
90103211,MMC- Clayton,1,0,0,0.77,1.33
90103318,Casey,23,2,8,1.97,1.33
90104011,Casey,8,0,0,1.97,1.33
90104011,Dandenong,5,0,0,2.72,1.33
90104797,Casey,5,0,0,1.97,1.33
90104880,Dandenong,3,0,0,2.72,1.33
90104983,MMC- Clayton,2,0,0,0.77,1.33
90105952,Casey,3,0,0,1.97,1.33
90107017,Dandenong,3,0,0,2.72,1.33
90107514,MMC- Clayton,18,0,0,0.77,1.33
90107765,Dandenong,7,0,0,2.72,1.33
90108333,MMC- Clayton,1,0,0,0.77,1.33
90109083,Dandenong,2,0,0,2.72,1.33
90109179,Casey,2,0,0,1.97,1.33
90109179,Dandenong,1,0,0,2.72,1.33
90109179,MMC- Clayton,6,0,0,0.77,1.33
90109536,Casey,3,0,0,1.97,1.33
90110663,MMC- Clayton,1,0,0,0.77,1.33
90111201,MMC- Clayton,1,0,0,0.77,1.33
90111234,Casey,1,0,0,1.97,1.33
90111258,Casey,1,0,0,1.97,1.33
90111262,MMC- Clayton,1,0,0,0.77,1.33
90111265,Casey,1,0,0,1.97,1.33
90111526,MMC- Clayton,2,0,0,0.77,1.33
90112083,Casey,3,0,0,1.97,1.33
90112361,Dandenong,2,0,0,2.72,1.33
90112578,Dandenong,3,0,0,2.72,1.33
90113108,Dandenong,3,0,0,2.72,1.33
90113108,MMC- Clayton,2,0,0,0.77,1.33
90113497,MMC- Clayton,14,0,0,0.77,1.33
90113883,Casey,11,0,0,1.97,1.33
90115768,Casey,3,0,0,1.97,1.33
90115768,MMC- Clayton,1,0,0,0.77,1.33
90115923,Dandenong,5,0,0,2.72,1.33
90116155,Casey,4,0,0,1.97,1.33
90116155,Dandenong,1,0,0,2.72,1.33
90116410,MMC- Clayton,1,0,0,0.77,1.33
90117588,Casey,7,0,0,1.97,1.33
90117588,Dandenong,3,0,0,2.72,1.33
90117588,MMC- Clayton,7,0,0,0.77,1.33
90117635,Casey,5,0,0,1.97,1.33
90118204,Dandenong,2,0,0,2.72,1.33
90118416,MMC- Clayton,11,0,0,0.77,1.33
90119011,Dandenong,1,0,0,2.72,1.33
90119011,MMC- Clayton,1,0,0,0.77,1.33
90119071,Casey,3,0,0,1.97,1.33
90119285,MMC- Clayton,8,0,0,0.77,1.33
90119577,MMC- Clayton,43,1,2,0.77,1.33
90119715,Casey,4,0,0,1.97,1.33
90119742,Casey,4,0,0,1.97,1.33
90119742,Dandenong,5,0,0,2.72,1.33
90119823,MMC- Clayton,12,0,0,0.77,1.33
90119848,MMC- Clayton,1,0,0,0.77,1.33
90119860,Casey,1,0,0,1.97,1.33
90119860,MMC- Clayton,2,0,0,0.77,1.33
90119901,MMC- Clayton,5,0,0,0.77,1.33
90119988,Dandenong,1,0,0,2.72,1.33
90119988,MMC- Clayton,4,0,0,0.77,1.33
90121871,MMC- Clayton,2,0,0,0.77,1.33
90122677,Casey,2,0,0,1.97,1.33
90122677,MMC- Clayton,32,0,0,0.77,1.33
90123231,Casey,7,0,0,1.97,1.33
90123234,Casey,1,0,0,1.97,1.33
