Treating.Clinician,Hospital,total,target,percentage,hospital_each_average,hospital_all_average
90074642,MMC- Clayton,2,0,0,1.17,1.25
90074963,Casey,4,0,0,1.62,1.25
90075008,MMC- Clayton,22,2,9,1.17,1.25
90075334,MMC- Clayton,13,0,0,1.17,1.25
90075767,Casey,4,0,0,1.62,1.25
90075767,Dandenong,3,0,0,0.54,1.25
90075796,MMC- Clayton,4,0,0,1.17,1.25
90076316,Casey,3,0,0,1.62,1.25
90076316,Dandenong,3,0,0,0.54,1.25
90076693,MMC- Clayton,8,0,0,1.17,1.25
90076797,MMC- Clayton,2,0,0,1.17,1.25
90077401,MMC- Clayton,18,0,0,1.17,1.25
90077628,Casey,12,0,0,1.62,1.25
90077920,MMC- Clayton,1,0,0,1.17,1.25
90078071,MMC- Clayton,14,0,0,1.17,1.25
90078140,Casey,4,0,0,1.62,1.25
90078263,Casey,7,0,0,1.62,1.25
90078705,MMC- Clayton,21,0,0,1.17,1.25
90078787,MMC- Clayton,3,0,0,1.17,1.25
90078814,Casey,2,0,0,1.62,1.25
90078814,MMC- Clayton,6,0,0,1.17,1.25
90079400,Casey,1,0,0,1.62,1.25
90079546,MMC- Clayton,15,2,13,1.17,1.25
90080314,Dandenong,2,0,0,0.54,1.25
90080314,MMC- Clayton,3,0,0,1.17,1.25
90080745,MMC- Clayton,8,0,0,1.17,1.25
90081325,MMC- Clayton,32,0,0,1.17,1.25
90081556,MMC- Clayton,5,0,0,1.17,1.25
90081588,MMC- Clayton,1,0,0,1.17,1.25
90081957,Dandenong,1,0,0,0.54,1.25
90081957,MMC- Clayton,14,0,0,1.17,1.25
90082317,Dandenong,4,0,0,0.54,1.25
90082317,MMC- Clayton,8,0,0,1.17,1.25
90082515,Casey,15,0,0,1.62,1.25
90082515,Dandenong,3,0,0,0.54,1.25
90082524,Casey,2,0,0,1.62,1.25
90082606,MMC- Clayton,1,0,0,1.17,1.25
90082724,Casey,15,1,6,1.62,1.25
90083027,Casey,7,0,0,1.62,1.25
90083027,MMC- Clayton,11,0,0,1.17,1.25
90083180,Casey,7,0,0,1.62,1.25
90083180,Dandenong,4,0,0,0.54,1.25
90083199,Dandenong,4,0,0,0.54,1.25
90083266,MMC- Clayton,29,0,0,1.17,1.25
90085012,Casey,4,0,0,1.62,1.25
90085012,Dandenong,1,0,0,0.54,1.25
90085043,MMC- Clayton,3,0,0,1.17,1.25
90085693,Casey,1,0,0,1.62,1.25
90085715,Casey,5,1,20,1.62,1.25
90085898,MMC- Clayton,11,0,0,1.17,1.25
90086088,MMC- Clayton,4,0,0,1.17,1.25
90086136,Casey,24,0,0,1.62,1.25
90086232,MMC- Clayton,3,0,0,1.17,1.25
90086511,Casey,14,0,0,1.62,1.25
90088199,Casey,7,0,0,1.62,1.25
90088199,Dandenong,4,0,0,0.54,1.25
90089123,Casey,10,0,0,1.62,1.25
90089947,Casey,8,0,0,1.62,1.25
90089975,Casey,7,0,0,1.62,1.25
90090296,Dandenong,5,0,0,0.54,1.25
90090681,Casey,8,0,0,1.62,1.25
90091034,MMC- Clayton,2,0,0,1.17,1.25
90093120,MMC- Clayton,7,0,0,1.17,1.25
90093190,Casey,1,0,0,1.62,1.25
90093190,MMC- Clayton,2,0,0,1.17,1.25
90093516,MMC- Clayton,6,0,0,1.17,1.25
90094007,Casey,3,0,0,1.62,1.25
90094126,MMC- Clayton,8,0,0,1.17,1.25
90094427,MMC- Clayton,15,0,0,1.17,1.25
90094829,Casey,2,0,0,1.62,1.25
90095252,Casey,5,0,0,1.62,1.25
90096616,MMC- Clayton,8,0,0,1.17,1.25
90096638,MMC- Clayton,1,0,0,1.17,1.25
90097823,Casey,5,0,0,1.62,1.25
90097823,Dandenong,7,0,0,0.54,1.25
90097823,MMC- Clayton,4,0,0,1.17,1.25
90098181,MMC- Clayton,17,1,5,1.17,1.25
90098405,Casey,5,0,0,1.62,1.25
90098744,MMC- Clayton,23,0,0,1.17,1.25
90098753,Casey,7,0,0,1.62,1.25
90098792,MMC- Clayton,1,0,0,1.17,1.25
90099597,MMC- Clayton,1,0,0,1.17,1.25
90099752,Dandenong,6,0,0,0.54,1.25
90099752,MMC- Clayton,12,0,0,1.17,1.25
90100013,Casey,9,0,0,1.62,1.25
90100582,Dandenong,7,0,0,0.54,1.25
90100582,MMC- Clayton,6,0,0,1.17,1.25
90101121,MMC- Clayton,2,0,0,1.17,1.25
90101122,MMC- Clayton,5,0,0,1.17,1.25
90101219,Dandenong,2,0,0,0.54,1.25
90101274,Casey,24,0,0,1.62,1.25
90101274,MMC- Clayton,33,1,3,1.17,1.25
90102876,MMC- Clayton,2,0,0,1.17,1.25
90102895,Casey,1,0,0,1.62,1.25
90102895,Dandenong,5,0,0,0.54,1.25
90103211,MMC- Clayton,1,0,0,1.17,1.25
90103318,Casey,23,0,0,1.62,1.25
90104011,Casey,8,0,0,1.62,1.25
90104011,Dandenong,5,0,0,0.54,1.25
90104797,Casey,5,0,0,1.62,1.25
90104880,Dandenong,3,0,0,0.54,1.25
90104983,MMC- Clayton,2,0,0,1.17,1.25
90105952,Casey,3,0,0,1.62,1.25
90107017,Dandenong,3,0,0,0.54,1.25
90107514,MMC- Clayton,18,0,0,1.17,1.25
90107765,Dandenong,7,0,0,0.54,1.25
90108333,MMC- Clayton,1,0,0,1.17,1.25
90109083,Dandenong,2,0,0,0.54,1.25
90109179,Casey,2,0,0,1.62,1.25
90109179,Dandenong,1,0,0,0.54,1.25
90109179,MMC- Clayton,6,0,0,1.17,1.25
90109536,Casey,3,0,0,1.62,1.25
90110663,MMC- Clayton,1,0,0,1.17,1.25
90111201,MMC- Clayton,1,0,0,1.17,1.25
90111234,Casey,1,0,0,1.62,1.25
90111258,Casey,1,0,0,1.62,1.25
90111262,MMC- Clayton,1,0,0,1.17,1.25
90111265,Casey,1,0,0,1.62,1.25
90111526,MMC- Clayton,2,0,0,1.17,1.25
90112083,Casey,3,0,0,1.62,1.25
90112361,Dandenong,2,0,0,0.54,1.25
90112578,Dandenong,3,0,0,0.54,1.25
90113108,Dandenong,3,0,0,0.54,1.25
90113108,MMC- Clayton,2,0,0,1.17,1.25
90113497,MMC- Clayton,14,0,0,1.17,1.25
90113883,Casey,11,0,0,1.62,1.25
90115768,Casey,3,0,0,1.62,1.25
90115768,MMC- Clayton,1,0,0,1.17,1.25
90115923,Dandenong,5,0,0,0.54,1.25
90116155,Casey,4,0,0,1.62,1.25
90116155,Dandenong,1,0,0,0.54,1.25
90116410,MMC- Clayton,1,0,0,1.17,1.25
90117588,Casey,7,0,0,1.62,1.25
90117588,Dandenong,3,0,0,0.54,1.25
90117588,MMC- Clayton,7,0,0,1.17,1.25
90117635,Casey,5,0,0,1.62,1.25
90118204,Dandenong,2,0,0,0.54,1.25
90118416,MMC- Clayton,11,0,0,1.17,1.25
90119011,Dandenong,1,0,0,0.54,1.25
90119011,MMC- Clayton,1,0,0,1.17,1.25
90119071,Casey,3,0,0,1.62,1.25
90119285,MMC- Clayton,8,0,0,1.17,1.25
90119577,MMC- Clayton,43,0,0,1.17,1.25
90119715,Casey,4,0,0,1.62,1.25
90119742,Casey,4,1,25,1.62,1.25
90119742,Dandenong,5,0,0,0.54,1.25
90119823,MMC- Clayton,12,0,0,1.17,1.25
90119848,MMC- Clayton,1,0,0,1.17,1.25
90119860,Casey,1,0,0,1.62,1.25
90119860,MMC- Clayton,2,0,0,1.17,1.25
90119901,MMC- Clayton,5,0,0,1.17,1.25
90119988,Dandenong,1,0,0,0.54,1.25
90119988,MMC- Clayton,4,0,0,1.17,1.25
90121871,MMC- Clayton,2,0,0,1.17,1.25
90122677,Casey,2,0,0,1.62,1.25
90122677,MMC- Clayton,32,2,6,1.17,1.25
90123231,Casey,7,0,0,1.62,1.25
90123234,Casey,1,0,0,1.62,1.25
90123243,Casey,3,0,0,1.62,1.25
90123249,MMC- Clayton,8,0,0,1.17,1.25
90123255,Casey,3,0,0,1.62,1.25
90123258,Casey,3,0,0,1.62,1.25
90123261,Casey,3,0,0,1.62,1.25
90123262,Casey,8,0,0,1.62,1.25
90123265,Casey,5,0,0,1.62,1.25
