Treating.Clinician,Hospital,total,target,percentage,hospital_each_average,hospital_all_average
90081957,Dandenong,1,0,0,0,0.03
90081957,MMC- Clayton,14,0,0,0.05,0.03
90082317,Dandenong,4,0,0,0,0.03
90082317,MMC- Clayton,8,0,0,0.05,0.03
90082515,Casey,15,0,0,0,0.03
90082515,Dandenong,3,0,0,0,0.03
90082524,Casey,2,0,0,0,0.03
90082606,MMC- Clayton,1,0,0,0.05,0.03
90082724,Casey,15,0,0,0,0.03
90083027,Casey,7,0,0,0,0.03
90083027,MMC- Clayton,11,0,0,0.05,0.03
90083180,Casey,7,0,0,0,0.03
90083180,Dandenong,4,0,0,0,0.03
90083199,Dandenong,4,0,0,0,0.03
90083266,MMC- Clayton,29,0,0,0.05,0.03
90085012,Casey,4,0,0,0,0.03
90085012,Dandenong,1,0,0,0,0.03
90085043,MMC- Clayton,3,0,0,0.05,0.03
90085693,Casey,1,0,0,0,0.03
90085715,Casey,5,0,0,0,0.03
90085898,MMC- Clayton,11,0,0,0.05,0.03
90086088,MMC- Clayton,4,0,0,0.05,0.03
90086136,Casey,24,0,0,0,0.03
90086232,MMC- Clayton,3,0,0,0.05,0.03
90086511,Casey,14,0,0,0,0.03
90088199,Casey,7,0,0,0,0.03
90088199,Dandenong,4,0,0,0,0.03
90089123,Casey,10,0,0,0,0.03
90089947,Casey,8,0,0,0,0.03
90089975,Casey,7,0,0,0,0.03
90090296,Dandenong,5,0,0,0,0.03
90090681,Casey,8,0,0,0,0.03
90091034,MMC- Clayton,2,0,0,0.05,0.03
90093120,MMC- Clayton,7,0,0,0.05,0.03
90093190,Casey,1,0,0,0,0.03
90093190,MMC- Clayton,2,0,0,0.05,0.03
90093516,MMC- Clayton,6,0,0,0.05,0.03
90094007,Casey,3,0,0,0,0.03
90094126,MMC- Clayton,8,0,0,0.05,0.03
90094427,MMC- Clayton,15,0,0,0.05,0.03
90094829,Casey,2,0,0,0,0.03
90095252,Casey,5,0,0,0,0.03
90096616,MMC- Clayton,8,0,0,0.05,0.03
90096638,MMC- Clayton,1,0,0,0.05,0.03
90097823,Casey,5,0,0,0,0.03
90097823,Dandenong,7,0,0,0,0.03
90097823,MMC- Clayton,4,0,0,0.05,0.03
90098181,MMC- Clayton,17,0,0,0.05,0.03
90098405,Casey,5,0,0,0,0.03
90098744,MMC- Clayton,23,0,0,0.05,0.03
90098753,Casey,7,0,0,0,0.03
90098792,MMC- Clayton,1,0,0,0.05,0.03
90099597,MMC- Clayton,1,0,0,0.05,0.03
90099752,Dandenong,6,0,0,0,0.03
90099752,MMC- Clayton,12,0,0,0.05,0.03
