Treating.Clinician,total,Hospital,target,percentage,hospital_each_average,hospital_all_average
90145292,6,MMC- Clayton,0,0,3.7,3.22
90145296,1,MMC- Clayton,0,0,3.7,3.22
90145390,16,MMC- Clayton,2,12,3.7,3.22
90145408,10,MMC- Clayton,0,0,3.7,3.22
90145549,4,MMC- Clayton,0,0,3.7,3.22
90145738,12,MMC- Clayton,0,0,3.7,3.22
90145754,6,MMC- Clayton,1,16,3.7,3.22
90145901,37,MMC- Clayton,1,2,3.7,3.22
90146286,18,MMC- Clayton,2,11,3.7,3.22
90148355,2,MMC- Clayton,0,0,3.7,3.22
90148809,1,MMC- Clayton,0,0,3.7,3.22
90149605,9,MMC- Clayton,0,0,3.7,3.22
90150180,4,MMC- Clayton,1,25,3.7,3.22
90153189,1,MMC- Clayton,0,0,3.7,3.22
90153195,1,MMC- Clayton,0,0,3.7,3.22
90154175,13,MMC- Clayton,0,0,3.7,3.22
90155188,12,MMC- Clayton,0,0,3.7,3.22
90155200,20,MMC- Clayton,0,0,3.7,3.22
90157612,19,MMC- Clayton,0,0,3.7,3.22
90159236,4,MMC- Clayton,1,25,3.7,3.22
90160332,2,MMC- Clayton,0,0,3.7,3.22
90160501,4,MMC- Clayton,1,25,3.7,3.22
90160513,1,MMC- Clayton,0,0,3.7,3.22
90160621,1,MMC- Clayton,0,0,3.7,3.22
90160636,2,MMC- Clayton,0,0,3.7,3.22
90160699,3,MMC- Clayton,0,0,3.7,3.22
90161039,21,MMC- Clayton,1,4,3.7,3.22
90161091,17,MMC- Clayton,0,0,3.7,3.22
90161185,1,MMC- Clayton,0,0,3.7,3.22
90161376,1,MMC- Clayton,0,0,3.7,3.22
90161873,19,MMC- Clayton,0,0,3.7,3.22
90162077,11,MMC- Clayton,0,0,3.7,3.22
90162078,13,MMC- Clayton,0,0,3.7,3.22
90162079,31,MMC- Clayton,3,9,3.7,3.22
90162080,5,MMC- Clayton,0,0,3.7,3.22
90162081,41,MMC- Clayton,3,7,3.7,3.22
90162082,9,MMC- Clayton,0,0,3.7,3.22
90162251,33,MMC- Clayton,1,3,3.7,3.22
90162252,27,MMC- Clayton,1,3,3.7,3.22
90162330,14,MMC- Clayton,0,0,3.7,3.22
90162599,37,MMC- Clayton,2,5,3.7,3.22
